,Destination,Date,Rolling week Total,Rolling week Avg
92,London,2021-01-03,1013920,144845.7142857143
93,London,2021-01-04,1115036,159290.85714285713
94,London,2021-01-05,1043813,149116.14285714287
95,London,2021-01-06,1113061,159008.7142857143
96,London,2021-01-07,1162513,166073.2857142857
97,London,2021-01-08,1229030,175575.7142857143
98,London,2021-01-09,1335360,190765.7142857143
99,London,2021-01-10,1316828,188118.2857142857
100,London,2021-01-11,1437716,205388.0
101,London,2021-01-12,1434271,204895.85714285713
102,London,2021-01-13,1372092,196013.14285714287
103,London,2021-01-14,1380411,197201.57142857142
104,London,2021-01-15,1344882,192126.0
105,London,2021-01-16,1267143,181020.42857142858
106,London,2021-01-17,1193027,170432.42857142858
107,London,2021-01-18,1159629,165661.2857142857
108,London,2021-01-19,1116070,159438.57142857142
109,London,2021-01-20,1186775,169539.2857142857
110,London,2021-01-21,1151743,164534.7142857143
111,London,2021-01-22,1186593,169513.2857142857
112,London,2021-01-23,1238838,176976.85714285713
113,London,2021-01-24,1309893,187127.57142857142
114,London,2021-01-25,1243984,177712.0
115,London,2021-01-26,1360947,194421.0
116,London,2021-01-27,1353867,193409.57142857142
117,London,2021-01-28,1373938,196276.85714285713
118,London,2021-01-29,1338761,191251.57142857142
119,London,2021-01-30,1256189,179455.57142857142
120,London,2021-01-31,1149423,164203.2857142857
121,London,2021-02-01,1161888,165984.0
122,London,2021-02-02,1087680,155382.85714285713
123,London,2021-02-03,1085746,155106.57142857142
124,London,2021-02-04,1071676,153096.57142857142
125,London,2021-02-05,993557,141936.7142857143
126,London,2021-02-06,1052763,150394.7142857143
127,London,2021-02-07,1073749,153392.7142857143
128,London,2021-02-08,1070534,152933.42857142858
129,London,2021-02-09,1129798,161399.7142857143
130,London,2021-02-10,1141266,163038.0
131,London,2021-02-11,1071013,153001.85714285713
132,London,2021-02-12,1059106,151300.85714285713
133,London,2021-02-13,1098009,156858.42857142858
134,London,2021-02-14,1117164,159594.85714285713
135,London,2021-02-15,1097586,156798.0
136,London,2021-02-16,1081171,154453.0
137,London,2021-02-17,1129630,161375.7142857143
138,London,2021-02-18,1222837,174691.0
139,London,2021-02-19,1279421,182774.42857142858
140,London,2021-02-20,1255079,179297.0
141,London,2021-02-21,1352857,193265.2857142857
142,London,2021-02-22,1441241,205891.57142857142
143,London,2021-02-23,1478205,211172.14285714287
144,London,2021-02-24,1344411,192058.7142857143
145,London,2021-02-25,1256740,179534.2857142857
146,London,2021-02-26,1308380,186911.42857142858
147,London,2021-02-27,1240198,177171.14285714287
148,London,2021-02-28,1195426,170775.14285714287
149,London,2021-03-01,1236060,176580.0
150,London,2021-03-02,1248274,178324.85714285713
151,London,2021-03-03,1312069,187438.42857142858
152,London,2021-03-04,1328835,189833.57142857142
153,London,2021-03-05,1239834,177119.14285714287
154,London,2021-03-06,1297738,185391.14285714287
155,London,2021-03-07,1239083,177011.85714285713
156,London,2021-03-08,1128716,161245.14285714287
157,London,2021-03-09,1030232,147176.0
158,London,2021-03-10,1066310,152330.0
159,London,2021-03-11,1073848,153406.85714285713
160,London,2021-03-12,1134635,162090.7142857143
161,London,2021-03-13,1112756,158965.14285714287
162,London,2021-03-14,1087445,155349.2857142857
163,London,2021-03-15,1131769,161681.2857142857
164,London,2021-03-16,1113815,159116.42857142858
165,London,2021-03-17,1023032,146147.42857142858
166,London,2021-03-18,1010658,144379.7142857143
167,London,2021-03-19,932803,133257.57142857142
168,London,2021-03-20,869130,124161.42857142857
169,London,2021-03-21,900360,128622.85714285714
170,London,2021-03-22,860793,122970.42857142857
171,London,2021-03-23,867776,123968.0
172,London,2021-03-24,925152,132164.57142857142
173,London,2021-03-25,1043205,149029.2857142857
174,London,2021-03-26,1099734,157104.85714285713
175,London,2021-03-27,1121484,160212.0
176,London,2021-03-28,1178903,168414.7142857143
177,London,2021-03-29,1043126,149018.0
178,London,2021-03-30,903454,129064.85714285714
179,London,2021-03-31,736485,105212.14285714286
180,New York,2021-01-01,842957,120422.42857142857
181,New York,2021-01-02,1077907,153986.7142857143
182,New York,2021-01-03,1213811,173401.57142857142
183,New York,2021-01-04,1406166,200880.85714285713
184,New York,2021-01-05,1340246,191463.7142857143
185,New York,2021-01-06,1350543,192934.7142857143
186,New York,2021-01-07,1359721,194245.85714285713
187,New York,2021-01-08,1342401,191771.57142857142
188,New York,2021-01-09,1298293,185470.42857142858
189,New York,2021-01-10,1320687,188669.57142857142
190,New York,2021-01-11,1312499,187499.85714285713
191,New York,2021-01-12,1309026,187003.7142857143
192,New York,2021-01-13,1347083,192440.42857142858
193,New York,2021-01-14,1284397,183485.2857142857
194,New York,2021-01-15,1271545,181649.2857142857
195,New York,2021-01-16,1227114,175302.0
196,New York,2021-01-17,1223672,174810.2857142857
197,New York,2021-01-18,1192627,170375.2857142857
198,New York,2021-01-19,1160349,165764.14285714287
199,New York,2021-01-20,1053709,150529.85714285713
200,New York,2021-01-21,1039959,148565.57142857142
201,New York,2021-01-22,1073641,153377.2857142857
202,New York,2021-01-23,1156972,165281.7142857143
203,New York,2021-01-24,1185758,169394.0
204,New York,2021-01-25,1240163,177166.14285714287
205,New York,2021-01-26,1284972,183567.42857142858
206,New York,2021-01-27,1393940,199134.2857142857
207,New York,2021-01-28,1477419,211059.85714285713
208,New York,2021-01-29,1469395,209913.57142857142
209,New York,2021-01-30,1406516,200930.85714285713
210,New York,2021-01-31,1408183,201169.0
211,New York,2021-02-01,1343479,191925.57142857142
212,New York,2021-02-02,1384696,197813.7142857143
213,New York,2021-02-03,1327496,189642.2857142857
214,New York,2021-02-04,1242933,177561.85714285713
215,New York,2021-02-05,1252498,178928.2857142857
216,New York,2021-02-06,1250379,178625.57142857142
217,New York,2021-02-07,1237122,176731.7142857143
218,New York,2021-02-08,1287028,183861.14285714287
219,New York,2021-02-09,1240374,177196.2857142857
220,New York,2021-02-10,1184757,169251.0
221,New York,2021-02-11,1194488,170641.14285714287
222,New York,2021-02-12,1147821,163974.42857142858
223,New York,2021-02-13,1148112,164016.0
224,New York,2021-02-14,1165462,166494.57142857142
225,New York,2021-02-15,1102522,157503.14285714287
226,New York,2021-02-16,1092116,156016.57142857142
227,New York,2021-02-17,1106803,158114.7142857143
228,New York,2021-02-18,1105525,157932.14285714287
229,New York,2021-02-19,1118719,159817.0
230,New York,2021-02-20,1104988,157855.42857142858
231,New York,2021-02-21,1108135,158305.0
232,New York,2021-02-22,1107170,158167.14285714287
233,New York,2021-02-23,1176819,168117.0
234,New York,2021-02-24,1159263,165609.0
235,New York,2021-02-25,1185137,169305.2857142857
236,New York,2021-02-26,1259921,179988.7142857143
237,New York,2021-02-27,1243718,177674.0
238,New York,2021-02-28,1233551,176221.57142857142
239,New York,2021-03-01,1285383,183626.14285714287
240,New York,2021-03-02,1199126,171303.7142857143
241,New York,2021-03-03,1319540,188505.7142857143
242,New York,2021-03-04,1339337,191333.85714285713
243,New York,2021-03-05,1347448,192492.57142857142
244,New York,2021-03-06,1455320,207902.85714285713
245,New York,2021-03-07,1506048,215149.7142857143
246,New York,2021-03-08,1567427,223918.14285714287
247,New York,2021-03-09,1641094,234442.0
248,New York,2021-03-10,1528994,218427.7142857143
249,New York,2021-03-11,1469444,209920.57142857142
250,New York,2021-03-12,1441340,205905.7142857143
251,New York,2021-03-13,1352439,193205.57142857142
252,New York,2021-03-14,1244431,177775.85714285713
253,New York,2021-03-15,1183066,169009.42857142858
254,New York,2021-03-16,1169777,167111.0
255,New York,2021-03-17,1187277,169611.0
256,New York,2021-03-18,1270065,181437.85714285713
257,New York,2021-03-19,1203508,171929.7142857143
258,New York,2021-03-20,1222195,174599.2857142857
259,New York,2021-03-21,1303573,186224.7142857143
260,New York,2021-03-22,1366523,195217.57142857142
261,New York,2021-03-23,1285321,183617.2857142857
262,New York,2021-03-24,1260757,180108.14285714287
263,New York,2021-03-25,1168340,166905.7142857143
264,New York,2021-03-26,1187133,169590.42857142858
265,New York,2021-03-27,1249726,178532.2857142857
266,New York,2021-03-28,1223603,174800.42857142858
267,New York,2021-03-29,979983,139997.57142857142
268,New York,2021-03-30,853351,121907.28571428571
269,New York,2021-03-31,725103,103586.14285714286
270,Perth,2021-01-01,449861,64265.857142857145
271,Perth,2021-01-02,575111,82158.71428571429
272,Perth,2021-01-03,648510,92644.28571428571
273,Perth,2021-01-04,718810,102687.14285714286
274,Perth,2021-01-05,729975,104282.14285714286
275,Perth,2021-01-06,693346,99049.42857142857
276,Perth,2021-01-07,700492,100070.28571428571
277,Perth,2021-01-08,664417,94916.71428571429
278,Perth,2021-01-09,593809,84829.85714285714
279,Perth,2021-01-10,613245,87606.42857142857
280,Perth,2021-01-11,629718,89959.71428571429
281,Perth,2021-01-12,631023,90146.14285714286
282,Perth,2021-01-13,690147,98592.42857142857
283,Perth,2021-01-14,747032,106718.85714285714
284,Perth,2021-01-15,742923,106131.85714285714
285,Perth,2021-01-16,796059,113722.71428571429
286,Perth,2021-01-17,784782,112111.71428571429
287,Perth,2021-01-18,772135,110305.0
288,Perth,2021-01-19,716505,102357.85714285714
289,Perth,2021-01-20,660848,94406.85714285714
290,Perth,2021-01-21,597890,85412.85714285714
291,Perth,2021-01-22,589471,84210.14285714286
292,Perth,2021-01-23,603207,86172.42857142857
293,Perth,2021-01-24,624131,89161.57142857143
294,Perth,2021-01-25,696364,99480.57142857143
295,Perth,2021-01-26,703473,100496.14285714286
296,Perth,2021-01-27,680005,97143.57142857143
297,Perth,2021-01-28,716947,102421.0
298,Perth,2021-01-29,753415,107630.71428571429
299,Perth,2021-01-30,737124,105303.42857142857
300,Perth,2021-01-31,723183,103311.85714285714
301,Perth,2021-02-01,634242,90606.0
302,Perth,2021-02-02,679277,97039.57142857143
303,Perth,2021-02-03,758740,108391.42857142857
304,Perth,2021-02-04,731935,104562.14285714286
305,Perth,2021-02-05,755500,107928.57142857143
306,Perth,2021-02-06,754782,107826.0
307,Perth,2021-02-07,790032,112861.71428571429
308,Perth,2021-02-08,823254,117607.71428571429
309,Perth,2021-02-09,750449,107207.0
310,Perth,2021-02-10,749518,107074.0
311,Perth,2021-02-11,754812,107830.28571428571
312,Perth,2021-02-12,694223,99174.71428571429
313,Perth,2021-02-13,716664,102380.57142857143
314,Perth,2021-02-14,678093,96870.42857142857
315,Perth,2021-02-15,714260,102037.14285714286
316,Perth,2021-02-16,693042,99006.0
317,Perth,2021-02-17,693347,99049.57142857143
318,Perth,2021-02-18,741593,105941.85714285714
319,Perth,2021-02-19,718198,102599.71428571429
320,Perth,2021-02-20,657199,93885.57142857143
321,Perth,2021-02-21,640098,91442.57142857143
322,Perth,2021-02-22,616947,88135.28571428571
323,Perth,2021-02-23,682194,97456.28571428571
324,Perth,2021-02-24,666199,95171.28571428571
325,Perth,2021-02-25,660729,94389.85714285714
326,Perth,2021-02-26,694252,99178.85714285714
327,Perth,2021-02-27,777541,111077.28571428571
328,Perth,2021-02-28,817037,116719.57142857143
329,Perth,2021-03-01,790373,112910.42857142857
330,Perth,2021-03-02,821392,117341.71428571429
331,Perth,2021-03-03,795289,113612.71428571429
332,Perth,2021-03-04,763379,109054.14285714286
333,Perth,2021-03-05,749222,107031.71428571429
334,Perth,2021-03-06,696476,99496.57142857143
335,Perth,2021-03-07,716519,102359.85714285714
336,Perth,2021-03-08,763986,109140.85714285714
337,Perth,2021-03-09,698146,99735.14285714286
338,Perth,2021-03-10,651613,93087.57142857143
339,Perth,2021-03-11,688891,98413.0
340,Perth,2021-03-12,762346,108906.57142857143
341,Perth,2021-03-13,810229,115747.0
342,Perth,2021-03-14,796443,113777.57142857143
343,Perth,2021-03-15,774259,110608.42857142857
344,Perth,2021-03-16,767876,109696.57142857143
345,Perth,2021-03-17,797988,113998.28571428571
346,Perth,2021-03-18,736630,105232.85714285714
347,Perth,2021-03-19,693767,99109.57142857143
348,Perth,2021-03-20,629226,89889.42857142857
349,Perth,2021-03-21,608567,86938.14285714286
350,Perth,2021-03-22,651214,93030.57142857143
351,Perth,2021-03-23,655351,93621.57142857143
352,Perth,2021-03-24,682341,97477.28571428571
353,Perth,2021-03-25,718657,102665.28571428571
354,Perth,2021-03-26,703151,100450.14285714286
355,Perth,2021-03-27,703895,100556.42857142857
356,Perth,2021-03-28,719855,102836.42857142857
357,Perth,2021-03-29,574933,82133.28571428571
358,Perth,2021-03-30,494421,70631.57142857143
359,Perth,2021-03-31,376592,53798.857142857145
