,rank,Area,Product Name,Revenue,% of total - Product
73,2,Kings Lynn,"Soap, Bar",883.0,27.39
74,1,Kings Lynn,"Soap, Liquid",1677.0,52.02
75,3,Knighton,Hand Sanitiser,859.0,20.09
76,2,Knighton,"Soap, Bar",1706.0,39.91
77,1,Knighton,"Soap, Liquid",1710.0,40.0
78,3,Lowestoft,Hand Sanitiser,444.0,8.71
79,2,Lowestoft,"Soap, Bar",1897.0,37.22
80,1,Lowestoft,"Soap, Liquid",2756.0,54.07
81,3,Lydney,Hand Sanitiser,181.0,4.48
82,2,Lydney,"Soap, Bar",1643.0,40.67
83,1,Lydney,"Soap, Liquid",2216.0,54.85
84,3,Maidstone,Hand Sanitiser,657.0,19.46
85,2,Maidstone,"Soap, Bar",887.0,26.27
86,1,Maidstone,"Soap, Liquid",1833.0,54.28
87,3,Manchester,Hand Sanitiser,621.0,14.17
88,1,Manchester,"Soap, Bar",2084.0,47.56
89,2,Manchester,"Soap, Liquid",1677.0,38.27
90,3,Market Weighton,Hand Sanitiser,273.0,7.02
91,1,Market Weighton,"Soap, Bar",2480.0,63.74
92,2,Market Weighton,"Soap, Liquid",1138.0,29.25
93,2,Matlock,Hand Sanitiser,698.0,22.79
94,1,Matlock,"Soap, Bar",1715.0,55.99
95,3,Matlock,"Soap, Liquid",650.0,21.22
96,3,Merthyr Tydfil,Hand Sanitiser,520.0,12.96
97,2,Merthyr Tydfil,"Soap, Bar",833.0,20.77
98,1,Merthyr Tydfil,"Soap, Liquid",2658.0,66.27
99,2,Millom,Hand Sanitiser,827.0,26.0
100,3,Millom,"Soap, Bar",514.0,16.16
101,1,Millom,"Soap, Liquid",1840.0,57.84
102,2,Newton Stewart,Hand Sanitiser,1134.0,42.06
103,1,Newton Stewart,"Soap, Bar",1556.0,57.72
104,3,Newton Stewart,"Soap, Liquid",6.0,0.22
105,3,Rugby,Hand Sanitiser,497.0,12.89
106,2,Rugby,"Soap, Bar",1397.0,36.22
107,1,Rugby,"Soap, Liquid",1963.0,50.89
108,3,Sanquhar,Hand Sanitiser,346.0,7.87
109,2,Sanquhar,"Soap, Bar",723.0,16.44
110,1,Sanquhar,"Soap, Liquid",3328.0,75.69
111,2,St Andrews,Hand Sanitiser,882.0,24.45
112,3,St Andrews,"Soap, Bar",801.0,22.21
113,1,St Andrews,"Soap, Liquid",1924.0,53.34
114,3,St Austell,Hand Sanitiser,474.0,16.19
115,2,St Austell,"Soap, Bar",660.0,22.54
116,1,St Austell,"Soap, Liquid",1794.0,61.27
117,3,St Helens,Hand Sanitiser,589.0,14.89
118,2,St Helens,"Soap, Bar",1092.0,27.6
119,1,St Helens,"Soap, Liquid",2275.0,57.51
120,3,Sunderland,Hand Sanitiser,348.0,7.93
121,2,Sunderland,"Soap, Bar",1802.0,41.09
122,1,Sunderland,"Soap, Liquid",2236.0,50.98
123,3,Thornhill,Hand Sanitiser,721.0,17.56
124,2,Thornhill,"Soap, Bar",805.0,19.61
125,1,Thornhill,"Soap, Liquid",2580.0,62.83
126,3,Thurso,Hand Sanitiser,373.0,10.99
127,2,Thurso,"Soap, Bar",1474.0,43.43
128,1,Thurso,"Soap, Liquid",1547.0,45.58
129,3,Tongue,Hand Sanitiser,822.0,20.71
130,2,Tongue,"Soap, Bar",924.0,23.28
131,1,Tongue,"Soap, Liquid",2223.0,56.01
132,3,Ullapool,Hand Sanitiser,465.0,15.43
133,2,Ullapool,"Soap, Bar",905.0,30.03
134,1,Ullapool,"Soap, Liquid",1644.0,54.55
135,3,Wetherby,Hand Sanitiser,1003.0,27.44
136,2,Wetherby,"Soap, Bar",1183.0,32.37
137,1,Wetherby,"Soap, Liquid",1469.0,40.19
138,3,Worthing,Hand Sanitiser,334.0,9.58
139,1,Worthing,"Soap, Bar",2020.0,57.96
140,2,Worthing,"Soap, Liquid",1131.0,32.45
141,3,Wrexham,Hand Sanitiser,545.0,16.33
142,1,Wrexham,"Soap, Bar",2129.0,63.8
143,2,Wrexham,"Soap, Liquid",663.0,19.87
