,#,Name,Total,HP,Attack,Defense,Special Attack,Special Defense,Speed,Evolving from,Evolving to,Level,Condition,Evolution Type,Evolution Group
38, 039,Jigglypuff,270,115,45,20,45,25,20,Igglybuff,Wigglytuff,,Moon Stone,Stone,Igglybuff
39, 040,Wigglytuff,425,140,70,45,75,50,45,Jigglypuff,,,,,Igglybuff
40, 041,Zubat,245,40,45,35,30,40,55,,Golbat,22.0,,Level,Zubat
41, 042,Golbat,455,75,80,70,65,75,90,Zubat,Crobat,,,Happiness,Zubat
42, 043,Oddish,320,45,50,55,75,65,30,,Gloom,21.0,,Level,Oddish
44, 044,Gloom,395,60,65,70,85,75,40,Oddish,Vileplume,,Leaf Stone,Stone,Oddish
45, 044,Gloom,395,60,65,70,85,75,40,Oddish,Bellossom,,Sun Stone,Stone,Oddish
46, 045,Vileplume,480,75,80,85,100,90,50,Gloom,,,,,Oddish
47, 046,Paras,285,35,70,55,45,55,25,,Parasect,24.0,,Level,Paras
48, 047,Parasect,405,60,95,80,60,80,30,Paras,,,,,Paras
49, 048,Venonat,305,60,55,50,40,55,45,,Venomoth,31.0,,Level,Venonat
50, 049,Venomoth,450,70,65,60,90,75,90,Venonat,,,,,Venonat
51, 050,Diglett,265,10,55,25,35,45,95,,Dugtrio,26.0,,Level,Diglett
52, 051,Dugtrio,405,35,80,50,50,70,120,Diglett,,,,,Diglett
53, 052,Meowth,290,40,45,35,40,40,90,,Persian,28.0,,Level,Meowth
54, 053,Persian,440,65,70,60,65,65,115,Meowth,,,,,Meowth
55, 054,Psyduck,320,50,52,48,65,50,55,,Golduck,33.0,,Level,Psyduck
56, 055,Golduck,500,80,82,78,95,80,85,Psyduck,,,,,Psyduck
57, 056,Mankey,305,40,80,35,35,45,70,,Primeape,28.0,,Level,Mankey
58, 057,Primeape,455,65,105,60,60,70,95,Mankey,,,,,Mankey
59, 058,Growlithe,350,55,70,45,70,50,60,,Arcanine,,Fire Stone,Stone,Growlithe
60, 059,Arcanine,555,90,110,80,100,80,95,Growlithe,,,,,Growlithe
61, 060,Poliwag,300,40,50,40,40,40,90,,Poliwhirl,25.0,,Level,Poliwag
63, 061,Poliwhirl,385,65,65,65,50,50,90,Poliwag,Poliwrath,,Water Stone,Stone,Poliwag
64, 061,Poliwhirl,385,65,65,65,50,50,90,Poliwag,Politoed,,King's Rock,Trade,Poliwag
65, 062,Poliwrath,500,90,85,95,70,90,70,Poliwhirl,,,,,Poliwag
66, 063,Abra,310,25,20,15,105,55,90,,Kadabra,16.0,,Level,Abra
67, 064,Kadabra,400,40,35,30,120,70,105,Abra,Alakazam,,,Trade,Abra
68, 065,Alakazam,490,55,50,45,135,85,120,Kadabra,,,,,Abra
69, 066,Machop,305,70,80,50,35,35,35,,Machoke,28.0,,Level,Machop
70, 067,Machoke,405,80,100,70,50,60,45,Machop,Machamp,,,Trade,Machop
71, 068,Machamp,505,90,130,80,65,85,55,Machoke,,,,,Machop
72, 069,Bellsprout,300,50,75,35,70,30,40,,Weepinbell,21.0,,Level,Bellsprout
73, 070,Weepinbell,390,65,90,50,85,45,55,Bellsprout,Victreebel,,Leaf Stone,Stone,Bellsprout
74, 071,Victreebel,480,80,105,65,100,60,70,Weepinbell,,,,,Bellsprout
75, 072,Tentacool,335,40,40,35,50,100,70,,Tentacruel,30.0,,Level,Tentacool
76, 073,Tentacruel,515,80,70,65,80,120,100,Tentacool,,,,,Tentacool
77, 074,Geodude,300,40,80,100,30,30,20,,Graveler,25.0,,Level,Geodude
78, 075,Graveler,390,55,95,115,45,45,35,Geodude,Golem,,,Trade,Geodude
79, 076,Golem,485,80,110,130,55,65,45,Graveler,,,,,Geodude
80, 077,Ponyta,410,50,85,55,65,65,90,,Rapidash,40.0,,Level,Ponyta
81, 078,Rapidash,500,65,100,70,80,80,105,Ponyta,,,,,Ponyta
82, 079,Slowpoke,315,90,65,65,40,40,15,,Slowbro,37.0,,Level,Slowpoke
83, 079,Slowpoke,315,90,65,65,40,40,15,,Slowking,,King's Rock,Trade,Slowpoke
84, 080,Slowbro,490,95,75,110,100,80,30,Slowpoke,,,,,Slowpoke
85, 081,Magnemite,325,25,35,70,95,55,45,,Magneton,30.0,,Level,Magnemite
86, 082,Magneton,465,50,60,95,120,70,70,Magnemite,,,,,Magnemite
87, 083,Farfetch'd,352,52,65,55,58,62,60,,,,,,Farfetch'd
88, 084,Doduo,310,35,85,45,35,35,75,,Dodrio,31.0,,Level,Doduo
89, 085,Dodrio,460,60,110,70,60,60,100,Doduo,,,,,Doduo
90, 086,Seel,325,65,45,55,45,70,45,,Dewgong,34.0,,Level,Seel
91, 087,Dewgong,475,90,70,80,70,95,70,Seel,,,,,Seel
92, 088,Grimer,325,80,80,50,40,50,25,,Muk,38.0,,Level,Grimer
93, 089,Muk,500,105,105,75,65,100,50,Grimer,,,,,Grimer
94, 090,Shellder,305,30,65,100,45,25,40,,Cloyster,,Water Stone,Stone,Shellder
95, 091,Cloyster,525,50,95,180,85,45,70,Shellder,,,,,Shellder
96, 092,Gastly,310,30,35,30,100,35,80,,Haunter,25.0,,Level,Gastly
97, 093,Haunter,405,45,50,45,115,55,95,Gastly,Gengar,,,Trade,Gastly
98, 094,Gengar,500,60,65,60,130,75,110,Haunter,,,,,Gastly
99, 095,Onix,385,35,45,160,30,45,70,,Steelix,,Metal Coat,Trade,Onix
100, 096,Drowzee,328,60,48,45,43,90,42,,Hypno,26.0,,Level,Drowzee
101, 097,Hypno,483,85,73,70,73,115,67,Drowzee,,,,,Drowzee
102, 098,Krabby,325,30,105,90,25,25,50,,Kingler,28.0,,Level,Krabby
103, 099,Kingler,475,55,130,115,50,50,75,Krabby,,,,,Krabby
104, 100,Voltorb,330,40,30,50,55,55,100,,Electrode,30.0,,Level,Voltorb
105, 101,Electrode,480,60,50,70,80,80,140,Voltorb,,,,,Voltorb
106, 102,Exeggcute,325,60,40,80,60,45,40,,Exeggutor,,Leaf Stone,Stone,Exeggcute
107, 103,Exeggutor,520,95,95,85,125,65,55,Exeggcute,,,,,Exeggcute
108, 104,Cubone,320,50,50,95,40,50,35,,Marowak,28.0,,Level,Cubone
109, 105,Marowak,425,60,80,110,50,80,45,Cubone,,,,,Cubone
110, 106,Hitmonlee,455,50,120,53,35,110,87,Tyrogue,,,,,Tyrogue
111, 107,Hitmonchan,455,50,105,79,35,110,76,Tyrogue,,,,,Tyrogue
112, 108,Lickitung,385,90,55,75,60,75,30,,,,,,Lickitung
113, 109,Koffing,340,40,65,95,60,45,35,,Weezing,35.0,,Level,Koffing
114, 110,Weezing,490,65,90,120,85,70,60,Koffing,,,,,Koffing
115, 111,Rhyhorn,345,80,85,95,30,30,25,,Rhydon,42.0,,Level,Rhyhorn
116, 112,Rhydon,485,105,130,120,45,45,40,Rhyhorn,,,,,Rhyhorn
117, 113,Chansey,450,250,5,5,35,105,50,,Blissey,,,Happiness,Chansey
118, 114,Tangela,435,65,55,115,100,40,60,,,,,,Tangela
119, 115,Kangaskhan,490,105,95,80,40,80,90,,,,,,Kangaskhan
120, 116,Horsea,295,30,40,70,70,25,60,,Seadra,32.0,,Level,Horsea
121, 117,Seadra,440,55,65,95,95,45,85,Horsea,Kingdra,,Dragon Scale,Trade,Horsea
122, 118,Goldeen,320,45,67,60,35,50,63,,Seaking,33.0,,Level,Goldeen
123, 119,Seaking,450,80,92,65,65,80,68,Goldeen,,,,,Goldeen
124, 120,Staryu,340,30,45,55,70,55,85,,Starmie,,Water Stone,Stone,Staryu
125, 121,Starmie,520,60,75,85,100,85,115,Staryu,,,,,Staryu
126, 122,Mr. Mime,460,40,45,65,100,120,90,,,,,,Mr. Mime
127, 123,Scyther,500,70,110,80,55,80,105,,Scizor,,Metal Coat,Trade,Scyther
128, 124,Jynx,455,65,50,35,115,95,95,Smoochum,,,,,Smoochum
129, 125,Electabuzz,490,65,83,57,95,85,105,Elekid,,,,,Elekid
130, 126,Magmar,495,65,95,57,100,85,93,Magby,,,,,Magby
131, 127,Pinsir,500,65,125,100,55,70,85,,,,,,Pinsir
132, 128,Tauros,490,75,100,95,40,70,110,,,,,,Tauros
133, 129,Magikarp,200,20,10,55,15,20,80,,Gyarados,20.0,,Level,Magikarp
134, 130,Gyarados,540,95,125,79,60,100,81,Magikarp,,,,,Magikarp
135, 131,Lapras,535,130,85,80,85,95,60,,,,,,Lapras
136, 132,Ditto,288,48,48,48,48,48,48,,,,,,Ditto
137, 133,Eevee,325,55,55,50,45,65,55,,Espeon,,Daytime,Happiness,Eevee
138, 133,Eevee,325,55,55,50,45,65,55,,Umbreon,,Nighttime,Happiness,Eevee
139, 133,Eevee,325,55,55,50,45,65,55,,Flareon,,Fire Stone,Stone,Eevee
140, 133,Eevee,325,55,55,50,45,65,55,,Vaporeon,,Water Stone,Stone,Eevee
141, 133,Eevee,325,55,55,50,45,65,55,,Jolteon,,Thunderstone,Stone,Eevee
142, 134,Vaporeon,525,130,65,60,110,95,65,Eevee,,,,,Eevee
143, 135,Jolteon,525,65,65,60,110,95,130,Eevee,,,,,Eevee
144, 136,Flareon,525,65,130,60,95,110,65,Eevee,,,,,Eevee
145, 137,Porygon,395,65,60,70,85,75,40,,Porygon2,,Up-Grade,Trade,Porygon
146, 138,Omanyte,355,35,40,100,90,55,35,,Omastar,40.0,,Level,Omanyte
147, 139,Omastar,495,70,60,125,115,70,55,Omanyte,,,,,Omanyte
148, 140,Kabuto,355,30,80,90,55,45,55,,Kabutops,40.0,,Level,Kabuto
149, 141,Kabutops,495,60,115,105,65,70,80,Kabuto,,,,,Kabuto
150, 142,Aerodactyl,515,80,105,65,60,75,130,,,,,,Aerodactyl
151, 143,Snorlax,540,160,110,65,65,110,30,,,,,,Snorlax
152, 144,Articuno,580,90,85,100,95,125,85,,,,,,Articuno
153, 145,Zapdos,580,90,90,85,125,90,100,,,,,,Zapdos
154, 146,Moltres,580,90,100,90,125,85,90,,,,,,Moltres
155, 147,Dratini,300,41,64,45,50,50,50,,Dragonair,30.0,,Level,Dratini
156, 148,Dragonair,420,61,84,65,70,70,70,Dratini,Dragonite,55.0,,Level,Dratini
157, 149,Dragonite,600,91,134,95,100,100,80,Dragonair,,,,,Dratini
158, 150,Mewtwo,680,106,110,90,154,90,130,,,,,,Mewtwo
159, 151,Mew,600,100,100,100,100,100,100,,,,,,Mew
160, 152,Chikorita,318,45,49,65,49,65,45,,Bayleef,16.0,,Level,Chikorita
161, 153,Bayleef,405,60,62,80,63,80,60,Chikorita,Meganium,32.0,,Level,Chikorita
162, 154,Meganium,525,80,82,100,83,100,80,Bayleef,,,,,Chikorita
163, 155,Cyndaquil,309,39,52,43,60,50,65,,Quilava,14.0,,Level,Cyndaquil
164, 156,Quilava,405,58,64,58,80,65,80,Cyndaquil,Typhlosion,36.0,,Level,Cyndaquil
165, 157,Typhlosion,534,78,84,78,109,85,100,Quilava,,,,,Cyndaquil
166, 158,Totodile,314,50,65,64,44,48,43,,Croconaw,18.0,,Level,Totodile
167, 159,Croconaw,405,65,80,80,59,63,58,Totodile,Feraligatr,30.0,,Level,Totodile
168, 160,Feraligatr,530,85,105,100,79,83,78,Croconaw,,,,,Totodile
169, 161,Sentret,215,35,46,34,35,45,20,,Furret,15.0,,Level,Sentret
170, 162,Furret,415,85,76,64,45,55,90,Sentret,,,,,Sentret
171, 163,Hoothoot,262,60,30,30,36,56,50,,Noctowl,20.0,,Level,Hoothoot
172, 164,Noctowl,442,100,50,50,76,96,70,Hoothoot,,,,,Hoothoot
173, 165,Ledyba,265,40,20,30,40,80,55,,Ledian,18.0,,Level,Ledyba
174, 166,Ledian,390,55,35,50,55,110,85,Ledyba,,,,,Ledyba
175, 167,Spinarak,250,40,60,40,40,40,30,,Ariados,22.0,,Level,Spinarak
176, 168,Ariados,390,70,90,70,60,60,40,Spinarak,,,,,Spinarak
177, 169,Crobat,535,85,90,80,70,80,130,Golbat,,,,,Zubat
178, 170,Chinchou,330,75,38,38,56,56,67,,Lanturn,27.0,,Level,Chinchou
179, 171,Lanturn,460,125,58,58,76,76,67,Chinchou,,,,,Chinchou
180, 172,Pichu,205,20,40,15,35,35,60,,Pikachu,,,Happiness,Pichu
181, 173,Cleffa,218,50,25,28,45,55,15,,Clefairy,,,Happiness,Cleffa
182, 174,Igglybuff,210,90,30,15,40,20,15,,Jigglypuff,,,Happiness,Igglybuff
183, 175,Togepi,245,35,20,65,40,65,20,,Togetic,,,Happiness,Togepi
184, 176,Togetic,405,55,40,85,80,105,40,Togepi,,,,,Togepi
185, 177,Natu,320,40,50,45,70,45,70,,Xatu,25.0,,Level,Natu
186, 178,Xatu,470,65,75,70,95,70,95,Natu,,,,,Natu
187, 179,Mareep,280,55,40,40,65,45,35,,Flaaffy,15.0,,Level,Mareep
188, 180,Flaaffy,365,70,55,55,80,60,45,Mareep,Ampharos,30.0,,Level,Mareep
189, 181,Ampharos,500,90,75,75,115,90,55,Flaaffy,,,,,Mareep
190, 182,Bellossom,480,75,80,85,90,100,50,Gloom,,,,,Oddish
191, 183,Marill,250,70,20,50,20,50,40,Azurill,Azumarill,18.0,,Level,Azurill
192, 184,Azumarill,410,100,50,80,50,80,50,Marill,,,,,Azurill
193, 185,Sudowoodo,410,70,100,115,30,65,30,,,,,,Sudowoodo
194, 186,Politoed,500,90,75,75,90,100,70,Poliwhirl,,,,,Poliwag
195, 187,Hoppip,250,35,35,40,35,55,50,,Skiploom,18.0,,Level,Hoppip
196, 188,Skiploom,340,55,45,50,45,65,80,Hoppip,Jumpluff,27.0,,Level,Hoppip
197, 189,Jumpluff,450,75,55,70,55,85,110,Skiploom,,,,,Hoppip
198, 190,Aipom,360,55,70,55,40,55,85,,,,,,Aipom
199, 191,Sunkern,180,30,30,30,30,30,30,,Sunflora,,Sun Stone,Stone,Sunkern
200, 192,Sunflora,425,75,75,55,105,85,30,Sunkern,,,,,Sunkern
201, 193,Yanma,390,65,65,45,75,45,95,,,,,,Yanma
202, 194,Wooper,210,55,45,45,25,25,15,,Quagsire,20.0,,Level,Wooper
203, 195,Quagsire,430,95,85,85,65,65,35,Wooper,,,,,Wooper
204, 196,Espeon,525,65,65,60,130,95,110,Eevee,,,,,Eevee
205, 197,Umbreon,525,95,65,110,60,130,65,Eevee,,,,,Eevee
206, 198,Murkrow,405,60,85,42,85,42,91,,,,,,Murkrow
207, 199,Slowking,490,95,75,80,100,110,30,Slowpoke,,,,,Slowpoke
208, 200,Misdreavus,435,60,60,60,85,85,85,,,,,,Misdreavus
209, 201,Unown,336,48,72,48,72,48,48,,,,,,Unown
210, 202,Wobbuffet,405,190,33,58,33,58,33,Wynaut,,,,,Wynaut
211, 203,Girafarig,455,70,80,65,90,65,85,,,,,,Girafarig
212, 204,Pineco,290,50,65,90,35,35,15,,Forretress,31.0,,Level,Pineco
213, 205,Forretress,465,75,90,140,60,60,40,Pineco,,,,,Pineco
214, 206,Dunsparce,415,100,70,70,65,65,45,,,,,,Dunsparce
215, 207,Gligar,430,65,75,105,35,65,85,,,,,,Gligar
216, 208,Steelix,510,75,85,200,55,65,30,Onix,,,,,Onix
217, 209,Snubbull,300,60,80,50,40,40,30,,Granbull,23.0,,Level,Snubbull
218, 210,Granbull,450,90,120,75,60,60,45,Snubbull,,,,,Snubbull
219, 211,Qwilfish,430,65,95,75,55,55,85,,,,,,Qwilfish
220, 212,Scizor,500,70,130,100,55,80,65,Scyther,,,,,Scyther
221, 213,Shuckle,505,20,10,230,10,230,5,,,,,,Shuckle
222, 214,Heracross,500,80,125,75,40,95,85,,,,,,Heracross
223, 215,Sneasel,430,55,95,55,35,75,115,,,,,,Sneasel
224, 216,Teddiursa,330,60,80,50,50,50,40,,Ursaring,30.0,,Level,Teddiursa
225, 217,Ursaring,500,90,130,75,75,75,55,Teddiursa,,,,,Teddiursa
226, 218,Slugma,250,40,40,40,70,40,20,,Magcargo,38.0,,Level,Slugma
227, 219,Magcargo,410,50,50,120,80,80,30,Slugma,,,,,Slugma
228, 220,Swinub,250,50,50,40,30,30,50,,Piloswine,33.0,,Level,Swinub
229, 221,Piloswine,450,100,100,80,60,60,50,Swinub,,,,,Swinub
230, 222,Corsola,380,55,55,85,65,85,35,,,,,,Corsola
231, 223,Remoraid,300,35,65,35,65,35,65,,Octillery,25.0,,Level,Remoraid
232, 224,Octillery,480,75,105,75,105,75,45,Remoraid,,,,,Remoraid
233, 225,Delibird,330,45,55,45,65,45,75,,,,,,Delibird
234, 226,Mantine,465,65,40,70,80,140,70,,,,,,Mantine
235, 227,Skarmory,465,65,80,140,40,70,70,,,,,,Skarmory
236, 228,Houndour,330,45,60,30,80,50,65,,Houndoom,24.0,,Level,Houndour
237, 229,Houndoom,500,75,90,50,110,80,95,Houndour,,,,,Houndour
238, 230,Kingdra,540,75,95,95,95,95,85,Seadra,,,,,Horsea
239, 231,Phanpy,330,90,60,60,40,40,40,,Donphan,25.0,,Level,Phanpy
240, 232,Donphan,500,90,120,120,60,60,50,Phanpy,,,,,Phanpy
241, 233,Porygon2,515,85,80,90,105,95,60,Porygon,,,,,Porygon
242, 234,Stantler,465,73,95,62,85,65,85,,,,,,Stantler
243, 235,Smeargle,250,55,20,35,20,45,75,,,,,,Smeargle
244, 236,Tyrogue,210,35,35,35,35,35,35,,Hitmonlee,20.0,Attack > Defense,Level,Tyrogue
245, 236,Tyrogue,210,35,35,35,35,35,35,,Hitmonchan,20.0,Attack < Defense,Level,Tyrogue
246, 236,Tyrogue,210,35,35,35,35,35,35,,Hitmontop,20.0,Attack = Defense,Level,Tyrogue
247, 237,Hitmontop,455,50,95,95,35,110,70,Tyrogue,,,,,Tyrogue
248, 238,Smoochum,305,45,30,15,85,65,65,,Jynx,30.0,,Level,Smoochum
249, 239,Elekid,360,45,63,37,65,55,95,,Electabuzz,30.0,,Level,Elekid
250, 240,Magby,365,45,75,37,70,55,83,,Magmar,30.0,,Level,Magby
251, 241,Miltank,490,95,80,105,40,70,100,,,,,,Miltank
252, 242,Blissey,540,255,10,10,75,135,55,Chansey,,,,,Chansey
253, 243,Raikou,580,90,85,75,115,100,115,,,,,,Raikou
254, 244,Entei,580,115,115,85,90,75,100,,,,,,Entei
255, 245,Suicune,580,100,75,115,90,115,85,,,,,,Suicune
256, 246,Larvitar,300,50,64,50,45,50,41,,Pupitar,30.0,,Level,Larvitar
257, 247,Pupitar,410,70,84,70,65,70,51,Larvitar,Tyranitar,55.0,,Level,Larvitar
258, 248,Tyranitar,600,100,134,110,95,100,61,Pupitar,,,,,Larvitar
259, 249,Lugia,680,106,90,130,90,154,110,,,,,,Lugia
260, 250,Ho-oh,680,106,130,90,110,154,90,,,,,,Ho-oh
261, 251,Celebi,600,100,100,100,100,100,100,,,,,,Celebi
262, 252,Treecko,310,40,45,35,65,55,70,,Grovyle,16.0,,Level,Treecko
263, 253,Grovyle,405,50,65,45,85,65,95,Treecko,Sceptile,36.0,,Level,Treecko
264, 254,Sceptile,530,70,85,65,105,85,120,Grovyle,,,,,Treecko
265, 255,Torchic,310,45,60,40,70,50,45,,Combusken,16.0,,Level,Torchic
266, 256,Combusken,405,60,85,60,85,60,55,Torchic,Blaziken,36.0,,Level,Torchic
267, 257,Blaziken,530,80,120,70,110,70,80,Combusken,,,,,Torchic
268, 258,Mudkip,310,50,70,50,50,50,40,,Marshtomp,16.0,,Level,Mudkip
269, 259,Marshtomp,405,70,85,70,60,70,50,Mudkip,Swampert,36.0,,Level,Mudkip
270, 260,Swampert,535,100,110,90,85,90,60,Marshtomp,,,,,Mudkip
271, 261,Poochyena,220,35,55,35,30,30,35,,Mightyena,18.0,,Level,Poochyena
272, 262,Mightyena,420,70,90,70,60,60,70,Poochyena,,,,,Poochyena
273, 263,Zigzagoon,240,38,30,41,30,41,60,,Linoone,20.0,,Level,Zigzagoon
274, 264,Linoone,420,78,70,61,50,61,100,Zigzagoon,,,,,Zigzagoon
275, 265,Wurmple,195,45,45,35,20,30,20,,Silcoon,7.0,"Random, based on personality",Level,Wurmple
276, 265,Wurmple,195,45,45,35,20,30,20,,Cascoon,7.0,"Random, based on personality",Level,Wurmple
277, 266,Silcoon,205,50,35,55,25,25,15,Wurmple,Beautifly,10.0,,Level,Wurmple
278, 267,Beautifly,385,60,70,50,90,50,65,Silcoon,,,,,Wurmple
279, 268,Cascoon,205,50,35,55,25,25,15,Wurmple,Dustox,10.0,,Level,Wurmple
280, 269,Dustox,385,60,50,70,50,90,65,Cascoon,,,,,Wurmple
281, 270,Lotad,220,40,30,30,40,50,30,,Lombre,14.0,,Level,Lotad
282, 271,Lombre,340,60,50,50,60,70,50,Lotad,Ludicolo,,Water Stone,Stone,Lotad
283, 272,Ludicolo,480,80,70,70,90,100,70,Lombre,,,,,Lotad
284, 273,Seedot,220,40,40,50,30,30,30,,Nuzleaf,14.0,,Level,Seedot
285, 274,Nuzleaf,340,70,70,40,60,40,60,Seedot,Shiftry,,Leaf Stone,Stone,Seedot
286, 275,Shiftry,480,90,100,60,90,60,80,Nuzleaf,,,,,Seedot
287, 276,Taillow,270,40,55,30,30,30,85,,Swellow,22.0,,Level,Taillow
288, 277,Swellow,430,60,85,60,50,50,125,Taillow,,,,,Taillow
289, 278,Wingull,270,40,30,30,55,30,85,,Pelipper,25.0,,Level,Wingull
290, 279,Pelipper,430,60,50,100,85,70,65,Wingull,,,,,Wingull
291, 280,Ralts,198,28,25,25,45,35,40,,Kirlia,20.0,,Level,Ralts
292, 281,Kirlia,278,38,35,35,65,55,50,Ralts,Gardevoir,30.0,,Level,Ralts
293, 282,Gardevoir,518,68,65,65,125,115,80,Kirlia,,,,,Ralts
294, 283,Surskit,269,40,30,32,50,52,65,,Masquerain,22.0,,Level,Surskit
295, 284,Masquerain,414,70,60,62,80,82,60,Surskit,,,,,Surskit
296, 285,Shroomish,295,60,40,60,40,60,35,,Breloom,23.0,,Level,Shroomish
297, 286,Breloom,460,60,130,80,60,60,70,Shroomish,,,,,Shroomish
298, 287,Slakoth,280,60,60,60,35,35,30,,Vigoroth,18.0,,Level,Slakoth
299, 288,Vigoroth,440,80,80,80,55,55,90,Slakoth,Slaking,36.0,,Level,Slakoth
300, 289,Slaking,670,150,160,100,95,65,100,Vigoroth,,,,,Slakoth
301, 290,Nincada,266,31,45,90,30,30,40,,Ninjask,20.0,,Level,Nincada
302, 290,Nincada,266,31,45,90,30,30,40,,Shedinja,20.0,with empty spot in party,Level,Nincada
303, 291,Ninjask,456,61,90,45,50,50,160,Nincada,,,,,Nincada
304, 292,Shedinja,236,1,90,45,30,30,40,Nincada,,,,,Nincada
305, 293,Whismur,240,64,51,23,51,23,28,,Loudred,20.0,,Level,Whismur
306, 294,Loudred,360,84,71,43,71,43,48,Whismur,Exploud,40.0,,Level,Whismur
307, 295,Exploud,480,104,91,63,91,63,68,Loudred,,,,,Whismur
308, 296,Makuhita,237,72,60,30,20,30,25,,Hariyama,24.0,,Level,Makuhita
309, 297,Hariyama,474,144,120,60,40,60,50,Makuhita,,,,,Makuhita
310, 298,Azurill,190,50,20,40,20,40,20,,Marill,,,Happiness,Azurill
311, 299,Nosepass,375,30,45,135,45,90,30,,,,,,Nosepass
312, 300,Skitty,260,50,45,45,35,35,50,,Delcatty,,Moon Stone,Stone,Skitty
313, 301,Delcatty,380,70,65,65,55,55,70,Skitty,,,,,Skitty
314, 302,Sableye,380,50,75,75,65,65,50,,,,,,Sableye
315, 303,Mawile,380,50,85,85,55,55,50,,,,,,Mawile
316, 304,Aron,330,50,70,100,40,40,30,,Lairon,32.0,,Level,Aron
317, 305,Lairon,430,60,90,140,50,50,40,Aron,Aggron,42.0,,Level,Aron
318, 306,Aggron,530,70,110,180,60,60,50,Lairon,,,,,Aron
319, 307,Meditite,280,30,40,55,40,55,60,,Medicham,37.0,,Level,Meditite
320, 308,Medicham,410,60,60,75,60,75,80,Meditite,,,,,Meditite
321, 309,Electrike,295,40,45,40,65,40,65,,Manectric,26.0,,Level,Electrike
322, 310,Manectric,475,70,75,60,105,60,105,Electrike,,,,,Electrike
323, 311,Plusle,405,60,50,40,85,75,95,,,,,,Plusle
324, 312,Minun,405,60,40,50,75,85,95,,,,,,Minun
