,Order ID,Customer Age,Bike Value,Existing Customer?,Store,Bike,Quarter,Day of Month
73,74,39,516,No,York,Road,2,1
74,75,23,1960,Yes,York,Mountain,3,30
75,76,15,780,Yes,London,Mountain,2,14
76,77,16,1858,Yes,London,Mountain,3,9
77,78,20,429,No,London,Mountain,1,19
78,79,47,1319,No,London,Gravel,3,26
79,80,37,1988,No,Leeds,Gravel,1,1
80,81,40,1605,No,Birmingham,Road,4,13
81,82,52,870,Yes,Leeds,Road,1,1
82,83,28,894,Yes,Birmingham,Road,2,24
83,84,20,895,Yes,Manchester,Road,3,26
84,85,60,681,No,Manchester,Mountain,2,29
85,86,21,1841,No,York,Mountain,2,13
86,87,57,487,No,York,Mountain,4,11
87,88,44,574,No,York,Mountain,4,25
88,89,56,1093,Yes,York,Gravel,4,1
89,90,27,453,Yes,York,Gravel,2,17
90,91,50,629,Yes,London,Road,3,27
91,92,51,808,No,London,Road,1,15
92,93,54,1661,No,London,Road,1,6
93,94,31,1957,No,London,Road,3,17
94,95,39,437,No,Leeds,Mountain,3,8
95,96,31,1667,Yes,Birmingham,Mountain,3,8
96,97,60,1779,Yes,Leeds,Mountain,3,21
97,98,50,1892,Yes,Birmingham,Mountain,2,25
98,99,58,1772,No,Manchester,Gravel,2,21
99,100,25,1155,No,Manchester,Gravel,1,23
100,101,35,896,No,York,Road,3,29
101,102,24,602,No,York,Road,4,26
102,103,22,993,Yes,York,Road,3,24
103,104,18,1973,Yes,York,Road,2,4
104,105,39,789,Yes,York,Mountain,1,19
105,106,28,1283,No,London,Mountain,2,6
106,107,43,1246,No,London,Mountain,4,18
107,108,44,1163,No,London,Mountain,2,11
108,109,29,564,No,London,Gravel,1,8
109,110,18,792,Yes,Leeds,Gravel,1,19
110,111,45,1749,Yes,York,Road,4,24
111,112,47,883,Yes,York,Road,4,8
112,113,40,1877,No,York,Road,3,4
113,114,17,420,No,York,Road,3,8
114,115,47,1018,No,York,Mountain,3,17
115,116,27,480,No,London,Mountain,3,12
116,117,26,678,Yes,London,Mountain,1,25
117,118,30,1830,Yes,London,Mountain,3,6
118,119,39,1722,Yes,London,Gravel,3,9
119,120,39,891,No,Leeds,Gravel,2,31
120,121,46,1404,No,Birmingham,Road,2,28
121,122,44,1767,No,Leeds,Road,2,25
122,123,54,470,No,Birmingham,Road,3,15
123,124,37,1572,Yes,Manchester,Road,1,7
124,125,20,1898,Yes,Manchester,Mountain,1,10
125,126,18,1158,Yes,York,Mountain,1,16
126,127,37,654,No,York,Mountain,4,21
127,128,41,955,No,York,Mountain,2,7
128,129,39,1786,No,York,Gravel,2,2
129,130,26,1387,No,York,Gravel,3,28
130,131,58,432,Yes,London,Road,2,8
131,132,58,658,Yes,London,Road,4,22
132,133,40,1006,Yes,London,Road,1,20
133,134,49,971,No,London,Road,1,12
134,135,60,1175,No,Leeds,Mountain,2,16
135,136,59,1224,No,Birmingham,Mountain,1,22
136,137,57,1994,No,Leeds,Mountain,2,30
137,138,44,1434,Yes,Birmingham,Mountain,1,23
138,139,41,472,Yes,Manchester,Gravel,3,14
139,140,27,1625,Yes,Manchester,Gravel,3,7
140,141,48,638,No,York,Road,2,29
141,142,35,1183,No,York,Road,4,17
142,143,30,1415,No,York,Road,2,23
143,144,36,718,No,York,Road,3,19
144,145,59,1108,Yes,York,Mountain,1,26
145,146,25,1399,Yes,London,Mountain,4,1
146,147,21,1442,Yes,London,Mountain,3,26
147,148,40,874,No,London,Mountain,2,29
148,149,36,461,No,London,Gravel,2,28
149,150,34,1947,No,Leeds,Gravel,3,16
150,151,40,1283,No,Birmingham,Road,1,5
151,152,57,1567,Yes,Leeds,Road,2,18
152,153,49,1333,Yes,Birmingham,Road,4,8
153,154,31,905,Yes,Manchester,Road,4,2
154,155,28,1277,No,Manchester,Mountain,2,3
155,156,36,1548,No,York,Mountain,3,9
156,157,18,1020,No,York,Mountain,1,16
157,158,59,534,No,York,Mountain,1,21
158,159,29,795,Yes,York,Gravel,1,3
159,160,27,1400,Yes,York,Gravel,3,4
160,161,54,1663,Yes,London,Road,1,28
161,162,17,471,No,London,Road,1,24
162,163,32,857,No,London,Road,3,18
163,164,17,1889,No,London,Road,4,4
164,165,52,1830,No,Leeds,Mountain,1,25
165,166,15,975,Yes,York,Mountain,2,1
166,167,39,861,Yes,York,Mountain,2,1
167,168,41,1898,Yes,York,Mountain,3,6
168,169,15,611,No,York,Gravel,1,20
169,170,36,1021,No,York,Gravel,3,30
170,171,37,1520,No,London,Road,1,2
171,172,22,1778,No,London,Road,4,26
172,173,59,933,Yes,London,Road,2,16
173,174,57,443,Yes,London,Road,2,16
174,175,37,923,Yes,Leeds,Mountain,1,12
175,176,48,696,No,Birmingham,Mountain,4,18
176,177,41,789,No,Leeds,Mountain,2,30
177,178,47,1352,No,Birmingham,Mountain,2,28
178,179,30,1426,No,Manchester,Gravel,3,22
179,180,36,1011,Yes,Manchester,Gravel,2,12
180,181,44,1506,Yes,York,Road,1,27
181,182,31,1205,Yes,York,Road,4,28
182,183,36,660,No,York,Road,4,13
183,184,38,1052,No,York,Road,3,9
184,185,50,1742,No,York,Mountain,4,28
185,186,47,765,No,London,Mountain,2,10
186,187,29,1195,Yes,London,Mountain,4,2
187,188,31,1343,Yes,London,Mountain,3,24
188,189,42,725,Yes,London,Gravel,2,21
189,190,44,928,No,Leeds,Gravel,1,25
190,191,28,1736,No,Birmingham,Road,1,8
191,192,26,1653,No,Leeds,Road,2,26
192,193,34,1045,No,Birmingham,Road,1,26
193,194,35,1245,Yes,Manchester,Road,2,14
194,195,47,1980,Yes,Manchester,Mountain,1,20
195,196,43,1881,Yes,York,Mountain,4,18
196,197,49,1691,No,York,Mountain,4,5
197,198,37,535,No,York,Mountain,3,18
198,199,25,816,No,York,Gravel,3,6
199,200,30,999,No,York,Gravel,4,7
200,201,34,1255,Yes,London,Road,1,26
201,202,41,1998,Yes,London,Road,2,6
202,203,37,1610,Yes,London,Road,3,14
203,204,25,1438,No,London,Road,2,19
204,205,27,1203,No,Leeds,Mountain,2,24
205,206,29,1626,No,Birmingham,Mountain,2,5
206,207,32,1833,No,Leeds,Mountain,3,29
207,208,46,1133,Yes,Birmingham,Mountain,2,18
208,209,30,1113,Yes,Manchester,Gravel,1,4
209,210,34,1544,Yes,Manchester,Gravel,1,2
210,211,41,787,No,York,Road,2,19
211,212,38,641,No,York,Road,4,30
212,213,30,596,No,York,Road,1,21
213,214,49,645,No,York,Road,2,7
214,215,50,1906,Yes,York,Mountain,2,14
215,216,33,1923,Yes,London,Mountain,2,13
216,217,44,607,Yes,London,Mountain,4,4
217,218,36,1773,No,London,Mountain,1,26
218,219,34,936,No,London,Gravel,2,2
219,220,33,1399,No,Leeds,Gravel,2,4
220,221,48,433,No,York,Road,3,18
221,222,29,1415,Yes,York,Road,2,13
222,223,30,1327,Yes,York,Road,2,26
223,224,35,1105,Yes,York,Road,2,15
224,225,39,1496,No,York,Mountain,2,30
225,226,35,1949,No,London,Mountain,3,9
226,227,43,910,No,London,Mountain,1,10
227,228,36,1317,No,London,Mountain,3,27
228,229,27,646,Yes,London,Gravel,1,16
229,230,27,419,Yes,Leeds,Gravel,4,29
230,231,25,1593,Yes,Birmingham,Road,1,21
231,232,37,889,No,Leeds,Road,2,4
232,233,29,877,No,Birmingham,Road,4,23
233,234,46,1073,No,Manchester,Road,2,1
234,235,35,1360,No,Manchester,Mountain,3,2
235,236,40,1482,Yes,York,Mountain,3,12
236,237,40,545,Yes,York,Mountain,4,16
237,238,34,1644,Yes,York,Mountain,2,20
238,239,34,1899,No,York,Gravel,4,28
239,240,36,1108,No,York,Gravel,1,19
240,241,37,1024,No,London,Road,4,22
241,242,28,1404,No,London,Road,2,11
242,243,29,1549,Yes,London,Road,1,26
243,244,36,1189,Yes,London,Road,2,15
244,245,42,1076,Yes,Leeds,Mountain,4,5
245,246,43,976,No,Birmingham,Mountain,4,15
246,247,31,1284,No,Leeds,Mountain,1,1
247,248,48,532,No,Birmingham,Mountain,2,19
248,249,25,1070,No,Manchester,Gravel,1,13
249,250,38,1132,Yes,Manchester,Gravel,1,8
250,251,33,633,Yes,York,Road,3,18
251,252,40,1237,Yes,York,Road,4,12
252,253,31,533,No,York,Road,2,9
253,254,32,1758,No,York,Road,3,3
254,255,33,843,No,York,Mountain,4,3
255,256,48,736,No,London,Mountain,3,30
256,257,49,1755,Yes,London,Mountain,1,26
257,258,42,1014,Yes,London,Mountain,4,14
258,259,35,995,Yes,London,Gravel,3,11
259,260,41,572,No,Leeds,Gravel,3,28
260,261,31,537,No,Birmingham,Road,2,27
261,262,47,1493,No,Leeds,Road,3,3
262,263,25,1979,No,Birmingham,Road,2,23
263,264,45,525,Yes,Manchester,Road,2,22
264,265,25,1620,Yes,Manchester,Mountain,1,30
265,266,45,1761,Yes,York,Mountain,2,10
266,267,29,1628,No,York,Mountain,2,15
267,268,35,1490,No,York,Mountain,3,26
268,269,34,656,No,York,Gravel,2,16
269,270,25,1721,No,York,Gravel,1,15
270,271,50,1526,Yes,London,Road,1,24
271,272,32,913,Yes,London,Road,3,7
272,273,26,1472,Yes,London,Road,2,26
273,274,26,979,No,London,Road,2,2
274,275,43,1587,No,Leeds,Mountain,3,27
275,276,47,1794,No,York,Mountain,4,8
276,277,40,1697,No,York,Mountain,4,26
277,278,48,1833,Yes,York,Mountain,2,3
278,279,35,520,Yes,York,Gravel,2,3
279,280,33,659,Yes,York,Gravel,2,29
280,281,44,1888,No,London,Road,3,28
281,282,43,1677,No,London,Road,4,9
282,283,48,1486,No,London,Road,3,18
283,284,40,1913,No,London,Road,1,4
284,285,37,839,Yes,Leeds,Mountain,3,23
285,286,45,1652,Yes,Birmingham,Mountain,1,15
286,287,46,1833,Yes,Leeds,Mountain,2,29
287,288,29,765,No,Birmingham,Mountain,2,11
288,289,33,990,No,Manchester,Gravel,1,25
289,290,37,1116,No,Manchester,Gravel,1,16
290,291,34,657,No,York,Road,4,22
291,292,36,567,Yes,York,Road,3,4
292,293,42,1839,Yes,York,Road,4,6
293,294,33,770,Yes,York,Road,2,9
294,295,45,649,No,York,Mountain,2,5
295,296,34,1120,No,London,Mountain,1,27
296,297,49,1266,No,London,Mountain,1,12
297,298,41,828,No,London,Mountain,1,8
298,299,35,1968,Yes,London,Gravel,2,6
299,300,49,602,Yes,Leeds,Gravel,3,26
300,301,33,1076,Yes,Birmingham,Road,4,12
301,302,48,1840,No,Leeds,Road,2,29
302,303,39,620,No,Birmingham,Road,1,24
303,304,40,1305,No,Manchester,Road,4,8
304,305,50,655,No,Manchester,Mountain,1,13
305,306,29,1785,Yes,York,Mountain,2,2
306,307,43,1086,Yes,York,Mountain,4,10
307,308,26,1769,Yes,York,Mountain,1,20
308,309,33,1468,No,York,Gravel,4,4
309,310,35,1020,No,York,Gravel,2,12
310,311,29,453,No,London,Road,2,18
311,312,50,1560,No,London,Road,4,29
312,313,39,680,Yes,London,Road,1,28
313,314,38,1520,Yes,London,Road,2,12
314,315,38,1010,Yes,Leeds,Mountain,2,15
315,316,33,460,No,Birmingham,Mountain,1,2
316,317,41,631,No,Leeds,Mountain,3,7
317,318,40,1581,No,Birmingham,Mountain,2,23
318,319,40,1370,No,Manchester,Gravel,2,14
319,320,35,1499,Yes,Manchester,Gravel,1,10
320,321,26,446,Yes,York,Road,3,8
321,322,28,417,Yes,York,Road,4,27
322,323,50,1452,No,York,Road,2,31
323,324,40,416,No,York,Road,1,5
324,325,50,508,No,York,Mountain,1,6
325,326,47,1863,No,London,Mountain,4,15
326,327,40,1018,Yes,London,Mountain,3,12
327,328,37,583,Yes,London,Mountain,3,14
328,329,38,1288,Yes,London,Gravel,3,11
329,330,35,1945,No,Leeds,Gravel,3,19
330,331,26,673,No,York,Road,4,2
331,332,50,1566,No,York,Road,3,30
332,333,47,841,No,York,Road,2,6
333,334,33,1595,Yes,York,Road,1,5
334,335,31,1837,Yes,York,Mountain,1,7
335,336,40,1153,Yes,London,Mountain,1,21
336,337,47,477,No,London,Mountain,3,19
337,338,41,1248,No,London,Mountain,4,4
338,339,46,984,No,London,Gravel,3,17
339,340,33,1444,No,Leeds,Gravel,2,7
340,341,40,1309,Yes,Birmingham,Road,1,3
341,342,31,1769,Yes,Leeds,Road,1,17
342,343,33,1081,Yes,Birmingham,Road,3,1
343,344,34,413,No,Manchester,Road,2,18
344,345,35,1985,No,Manchester,Mountain,4,19
345,346,76,1304,No,York,Mountain,4,29
346,347,46,1093,No,York,Mountain,1,29
347,348,29,1952,Yes,York,Mountain,3,23
348,349,37,1915,Yes,York,Gravel,3,17
349,350,47,461,Yes,York,Gravel,1,6
350,351,36,1702,No,London,Road,3,26
351,352,40,981,No,London,Road,3,29
352,353,47,1898,No,London,Road,1,12
353,354,35,1428,No,London,Road,1,18
354,355,45,1715,Yes,Leeds,Mountain,1,2
355,356,44,1479,Yes,Birmingham,Mountain,3,13
356,357,47,839,Yes,Leeds,Mountain,2,5
357,358,39,1429,No,Birmingham,Mountain,4,3
358,359,28,1682,No,Manchester,Gravel,2,20
359,360,45,778,No,Manchester,Gravel,2,4
360,361,38,498,No,York,Road,1,24
361,362,25,536,Yes,York,Road,2,17
362,363,43,1234,Yes,York,Road,4,10
363,364,26,1983,Yes,York,Road,4,2
364,365,44,1737,No,York,Mountain,4,24
365,366,47,1040,No,London,Mountain,1,23
366,367,28,1027,No,London,Mountain,2,13
367,368,36,1490,No,London,Mountain,2,11
368,369,30,1794,Yes,London,Gravel,3,26
369,370,45,1566,Yes,Leeds,Gravel,2,5
370,371,41,1427,Yes,Birmingham,Road,1,20
371,372,27,1420,No,Leeds,Road,4,13
372,373,28,897,No,Birmingham,Road,1,26
373,374,32,778,No,Manchester,Road,3,24
374,375,35,1615,No,Manchester,Mountain,1,12
375,376,50,1177,Yes,York,Mountain,1,11
376,377,25,1301,Yes,York,Mountain,3,4
377,378,25,1848,Yes,York,Mountain,3,7
378,379,27,1638,No,York,Gravel,2,17
379,380,26,1134,No,York,Gravel,4,10
380,381,43,1465,No,London,Road,1,20
381,382,29,1298,No,London,Road,2,27
382,383,43,701,Yes,London,Road,4,3
383,384,50,646,Yes,London,Road,4,20
384,385,42,1293,Yes,Leeds,Mountain,2,29
385,386,35,644,No,York,Mountain,3,29
386,387,27,1411,No,York,Mountain,2,3
387,388,28,1810,No,York,Mountain,2,5
388,389,46,1107,No,York,Gravel,2,4
389,390,48,1226,Yes,York,Gravel,2,13
390,391,27,1278,Yes,London,Road,3,12
391,392,50,1968,Yes,London,Road,4,18
392,393,38,1499,No,London,Road,3,5
393,394,35,632,No,London,Road,2,21
394,395,44,1180,No,Leeds,Mountain,4,14
395,396,34,1565,No,Birmingham,Mountain,1,2
396,397,36,1941,Yes,Leeds,Mountain,4,15
397,398,46,1539,Yes,Birmingham,Mountain,3,11
398,399,34,1695,Yes,Manchester,Gravel,1,16
399,400,25,1562,No,Manchester,Gravel,4,10
400,401,49,1262,No,York,Road,4,27
401,402,44,951,No,York,Road,2,6
402,403,25,1814,No,York,Road,3,10
403,404,49,1817,Yes,York,Road,4,6
404,405,43,1921,Yes,York,Mountain,3,31
405,406,39,1877,Yes,London,Mountain,4,6
406,407,47,528,No,London,Mountain,3,19
407,408,42,1033,No,London,Mountain,2,15
408,409,47,1145,No,London,Gravel,3,10
409,410,34,1803,No,Leeds,Gravel,3,6
410,411,36,616,Yes,Birmingham,Road,1,3
411,412,49,893,Yes,Leeds,Road,3,22
412,413,25,478,Yes,Birmingham,Road,4,1
413,414,43,827,No,Manchester,Road,2,8
414,415,27,1513,No,Manchester,Mountain,2,12
415,416,37,1365,No,York,Mountain,2,6
416,417,46,1610,No,York,Mountain,1,13
417,418,40,606,Yes,York,Mountain,1,1
418,419,41,588,Yes,York,Gravel,1,21
419,420,25,1807,Yes,York,Gravel,1,8
420,421,36,1621,No,London,Road,2,11
421,422,37,959,No,London,Road,1,31
422,423,44,1730,No,London,Road,3,5
423,424,44,465,No,London,Road,3,31
424,425,50,1133,Yes,Leeds,Mountain,4,7
425,426,47,1315,Yes,Birmingham,Mountain,2,14
426,427,50,1738,Yes,Leeds,Mountain,4,5
427,428,45,1378,No,Birmingham,Mountain,2,11
428,429,34,879,No,Manchester,Gravel,2,14
429,430,39,1816,No,Manchester,Gravel,4,29
430,431,37,643,No,York,Road,2,14
431,432,32,1279,Yes,York,Road,2,13
432,433,31,991,Yes,York,Road,1,3
433,434,26,884,Yes,York,Road,3,21
434,435,34,850,No,York,Mountain,3,15
435,436,25,1524,No,London,Mountain,2,27
436,437,30,1723,No,London,Mountain,2,4
437,438,35,858,No,London,Mountain,4,23
438,439,31,405,Yes,London,Gravel,2,20
439,440,31,839,Yes,Leeds,Gravel,1,13
440,441,26,1500,Yes,York,Road,4,2
441,442,35,1697,No,York,Road,2,15
442,443,45,518,No,York,Road,1,16
443,444,39,1893,No,York,Road,1,4
444,445,48,1422,No,York,Mountain,3,13
445,446,29,1573,Yes,London,Mountain,3,11
446,447,46,1409,Yes,London,Mountain,3,11
447,448,41,1097,Yes,London,Mountain,4,7
448,449,38,1704,No,London,Gravel,1,15
449,450,32,1145,No,Leeds,Gravel,2,30
450,451,40,1023,No,Birmingham,Road,1,26
451,452,26,1864,No,Leeds,Road,4,4
452,453,35,1574,Yes,Birmingham,Road,2,1
453,454,45,731,Yes,Manchester,Road,2,19
454,455,47,1895,Yes,Manchester,Mountain,4,4
455,456,49,687,No,York,Mountain,3,16
456,457,33,1731,No,York,Mountain,2,23
457,458,39,771,No,York,Mountain,2,3
458,459,33,1473,No,York,Gravel,1,14
459,460,34,1499,Yes,York,Gravel,3,8
460,461,36,874,Yes,London,Road,2,10
461,462,40,406,Yes,London,Road,4,4
462,463,34,822,No,London,Road,3,20
463,464,43,463,No,London,Road,3,17
464,465,38,594,No,Leeds,Mountain,3,12
465,466,36,559,No,Birmingham,Mountain,2,26
466,467,30,1397,Yes,Leeds,Mountain,3,7
467,468,41,651,Yes,Birmingham,Mountain,3,28
468,469,33,1357,Yes,Manchester,Gravel,2,16
469,470,27,744,No,Manchester,Gravel,4,22
470,471,46,1595,No,York,Road,1,31
471,472,31,1180,No,York,Road,4,15
472,473,30,1459,No,York,Road,2,5
473,474,38,1588,Yes,York,Road,3,8
474,475,37,401,Yes,York,Mountain,1,23
475,476,32,1830,Yes,London,Mountain,3,5
476,477,28,1685,No,London,Mountain,3,8
477,478,39,1494,No,London,Mountain,2,27
478,479,47,1434,No,London,Gravel,2,13
479,480,45,542,No,Leeds,Gravel,4,8
480,481,38,1158,Yes,Birmingham,Road,4,11
481,482,47,1835,Yes,Leeds,Road,1,23
482,483,48,1474,Yes,Birmingham,Road,4,30
483,484,31,1619,No,Manchester,Road,4,8
484,485,35,693,No,Manchester,Mountain,2,30
485,486,41,1892,No,York,Mountain,2,17
486,487,46,820,No,York,Mountain,4,13
487,488,25,1599,Yes,York,Mountain,1,17
488,489,44,1567,Yes,York,Gravel,2,24
489,490,41,1944,Yes,York,Gravel,1,6
490,491,28,1147,No,London,Road,2,25
491,492,42,1859,No,London,Road,4,23
492,493,31,794,No,London,Road,4,21
493,494,27,1306,No,London,Road,4,7
494,495,27,1784,Yes,Leeds,Mountain,4,28
495,496,25,1302,Yes,York,Mountain,4,30
496,497,44,437,Yes,York,Mountain,2,23
497,498,33,940,No,York,Mountain,4,10
498,499,30,921,No,York,Gravel,3,30
499,500,31,1378,No,York,Gravel,1,12
500,501,25,838,No,London,Road,2,11
501,502,45,1428,Yes,London,Road,4,6
502,503,32,652,Yes,London,Road,2,6
503,504,48,1616,Yes,London,Road,3,1
504,505,34,885,No,Leeds,Mountain,3,15
505,506,31,1913,No,Birmingham,Mountain,3,2
506,507,46,742,No,Leeds,Mountain,1,12
507,508,34,1083,No,Birmingham,Mountain,2,17
508,509,26,1628,Yes,Manchester,Gravel,1,14
509,510,32,1234,Yes,Manchester,Gravel,1,8
510,511,43,1656,Yes,York,Road,3,14
511,512,33,786,No,York,Road,4,12
512,513,50,1931,No,York,Road,2,30
513,514,49,1238,No,York,Road,3,23
514,515,41,927,No,York,Mountain,2,2
515,516,43,804,Yes,London,Mountain,2,25
516,517,44,889,Yes,London,Mountain,2,11
517,518,38,1489,Yes,London,Mountain,2,3
518,519,29,989,No,London,Gravel,3,28
519,520,40,767,No,Leeds,Gravel,1,13
520,521,41,1301,No,Birmingham,Road,2,4
521,522,27,574,No,Leeds,Road,2,16
522,523,33,563,Yes,Birmingham,Road,3,11
523,524,44,1497,Yes,Manchester,Road,4,15
524,525,25,903,Yes,Manchester,Mountain,4,9
525,526,48,417,No,York,Mountain,2,30
526,527,29,1327,No,York,Mountain,2,26
527,528,28,1195,No,York,Mountain,3,7
528,529,26,1687,No,York,Gravel,2,8
529,530,49,805,Yes,York,Gravel,2,30
530,531,29,1146,Yes,London,Road,2,15
531,532,37,803,Yes,London,Road,3,5
532,533,40,785,No,London,Road,1,20
533,534,38,524,No,London,Road,4,19
534,535,48,1599,No,Leeds,Mountain,3,12
535,536,38,1532,No,Birmingham,Mountain,1,14
536,537,37,453,Yes,Leeds,Mountain,4,22
537,538,30,1137,Yes,Birmingham,Mountain,2,14
538,539,31,1884,Yes,Manchester,Gravel,4,23
539,540,35,1966,No,Manchester,Gravel,1,17
540,541,39,1430,No,York,Road,4,19
541,542,42,1772,No,York,Road,3,28
542,543,50,1219,No,York,Road,2,8
543,544,32,955,Yes,York,Road,3,12
544,545,43,410,Yes,York,Mountain,2,9
545,546,28,961,Yes,London,Mountain,2,27
546,547,82,1854,No,London,Mountain,3,2
547,548,31,1697,No,London,Mountain,3,7
548,549,40,1507,No,London,Gravel,1,25
549,550,33,1119,No,Leeds,Gravel,4,5
550,551,28,1972,Yes,York,Road,1,12
551,552,39,1609,Yes,York,Road,1,25
552,553,41,836,Yes,York,Road,3,13
553,554,35,464,No,York,Road,2,21
554,555,48,1820,No,York,Mountain,4,18
555,556,28,1008,No,London,Mountain,3,30
556,557,50,1312,No,London,Mountain,4,21
557,558,31,809,Yes,London,Mountain,1,10
558,559,50,1953,Yes,London,Gravel,1,24
559,560,38,1605,Yes,Leeds,Gravel,3,11
560,561,40,1562,No,Birmingham,Road,1,21
561,562,29,798,No,Leeds,Road,3,13
562,563,38,1699,No,Birmingham,Road,3,5
563,564,40,1394,No,Manchester,Road,2,25
564,565,50,879,Yes,Manchester,Mountain,3,4
565,566,37,622,Yes,York,Mountain,2,3
566,567,41,1568,Yes,York,Mountain,3,8
567,568,25,990,No,York,Mountain,4,4
568,569,27,1704,No,York,Gravel,1,9
569,570,25,1406,No,York,Gravel,4,17
570,571,29,888,No,London,Road,4,18
571,572,25,1570,Yes,London,Road,2,7
572,573,48,1146,Yes,London,Road,4,21
573,574,39,472,Yes,London,Road,3,18
574,575,45,1593,No,Leeds,Mountain,1,9
575,576,34,662,No,Birmingham,Mountain,3,10
576,577,38,1861,No,Leeds,Mountain,4,22
577,578,40,1703,No,Birmingham,Mountain,3,10
578,579,50,652,Yes,Manchester,Gravel,1,28
579,580,36,1970,Yes,Manchester,Gravel,2,27
580,581,27,974,Yes,York,Road,4,7
581,582,33,1375,No,York,Road,2,7
582,583,41,474,No,York,Road,4,29
583,584,25,1442,No,York,Road,2,7
584,585,25,965,No,York,Mountain,3,23
585,586,46,1517,Yes,London,Mountain,4,10
586,587,25,1355,Yes,London,Mountain,4,10
587,588,31,1799,Yes,London,Mountain,3,12
588,589,26,427,No,London,Gravel,2,17
589,590,31,756,No,Leeds,Gravel,3,2
590,591,40,1308,No,Birmingham,Road,2,23
591,592,38,908,No,Leeds,Road,3,11
592,593,33,1386,Yes,Birmingham,Road,4,11
593,594,38,1083,Yes,Manchester,Road,1,9
594,595,47,1762,Yes,Manchester,Mountain,1,20
595,596,28,639,No,York,Mountain,3,6
596,597,25,1509,No,York,Mountain,1,30
597,598,46,532,No,York,Mountain,2,3
598,599,45,1131,No,York,Gravel,1,28
599,600,42,3946,Yes,York,Gravel,3,5
600,601,25,1731,Yes,London,Road,2,4
601,602,38,3480,Yes,London,Road,3,22
602,603,44,2968,No,London,Road,1,2
603,604,46,1554,No,London,Road,2,1
604,605,31,1870,No,Leeds,Mountain,3,18
605,606,30,3839,No,York,Mountain,3,25
606,607,47,4542,Yes,York,Mountain,3,7
607,608,44,2146,Yes,York,Mountain,2,22
608,609,50,3189,Yes,York,Gravel,3,29
609,610,35,2248,No,York,Gravel,2,11
610,611,25,1256,No,London,Road,3,12
611,612,49,4847,No,London,Road,3,22
612,613,33,4128,No,London,Road,2,11
613,614,35,2743,Yes,London,Road,3,27
614,615,33,3978,Yes,Leeds,Mountain,1,10
615,616,49,4844,Yes,Birmingham,Mountain,4,6
616,617,27,4548,No,Leeds,Mountain,4,26
617,618,41,1468,No,Birmingham,Mountain,2,11
